date,close,high,low,open
1993-01-29 00:00:00+00:00,43.9375,43.9687,43.75,43.9687
1993-02-01 00:00:00+00:00,44.25,44.25,43.9687,43.9687
1993-02-02 00:00:00+00:00,44.3437,44.375,44.125,44.2187
1993-02-03 00:00:00+00:00,44.8125,44.8437,44.375,44.4062
1993-02-04 00:00:00+00:00,45.0,45.0937,44.4687,44.9687
1993-02-05 00:00:00+00:00,44.9687,45.0625,44.7187,44.9687
1993-02-08 00:00:00+00:00,44.9687,45.125,44.9062,44.9687
1993-02-09 00:00:00+00:00,44.6562,44.8125,44.5625,44.8125
1993-02-10 00:00:00+00:00,44.7187,44.75,44.5312,44.6562
1993-02-11 00:00:00+00:00,44.9375,45.125,44.7812,44.7812
1993-02-12 00:00:00+00:00,44.5937,44.875,44.5937,44.875
1993-02-16 00:00:00+00:00,43.4687,44.4687,43.4062,44.4687
1993-02-17 00:00:00+00:00,43.4375,43.5312,43.2812,43.4687
1993-02-18 00:00:00+00:00,43.4062,43.9375,42.8125,43.9375
1993-02-19 00:00:00+00:00,43.5625,43.5625,43.3437,43.4062
1993-02-22 00:00:00+00:00,43.7187,43.7812,43.5625,43.6875
1993-02-23 00:00:00+00:00,43.6875,43.875,43.4687,43.8437
1993-02-24 00:00:00+00:00,44.25,44.25,43.7187,43.7187
1993-02-25 00:00:00+00:00,44.3437,44.375,44.125,44.2187
1993-02-26 00:00:00+00:00,44.4062,44.4375,44.1875,44.4375
1993-03-01 00:00:00+00:00,44.2812,44.5625,44.2187,44.5625
1993-03-02 00:00:00+00:00,44.9375,44.9375,44.25,44.3125
1993-03-03 00:00:00+00:00,45.125,45.1562,44.9375,45.0
1993-03-04 00:00:00+00:00,44.875,45.1875,44.875,45.1875
1993-03-05 00:00:00+00:00,44.75,45.125,44.7187,44.9375
1993-03-08 00:00:00+00:00,45.75,45.75,44.8437,44.8437
1993-03-09 00:00:00+00:00,45.5937,45.6875,45.5,45.6562
1993-03-10 00:00:00+00:00,45.6875,45.6875,45.4062,45.5937
1993-03-11 00:00:00+00:00,45.5625,45.8437,45.5,45.7187
